,农村居民家庭人均可支配收入（元/人）,卫生厕所普及率（%）,建筑工程（亿元）,住宅（亿元）,食品支出（元/人）,衣着支出（元/人）,居住支出（元/人）,文教娱乐支出（元/人）,医疗保健支出（元/人）,卫生院（个）,乡镇文化站（个）,单位数（个）,农村最低生活保障支出（万元）,农村居民最低生活保障人数（人）
,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
北京,20568.7,98.4,46.6,44.7,4186.8,996.1,1807.7,1144.8,1132,,182,273,34964,48850
天津,18481.6,93.6,11.3,7.1,4225.7,1060.5,1599.6,1241.8,1026.9,144,134,37,49006,103701
河北,11050.5,68.8,456.9,402.4,2415.8,624,1024.1,869.7,761.2,1960,1985,431,302394,2057594
山西,9453.9,56,228.7,217,1833.9,558.1,715.1,1017.1,629.6,1249,1196,412,259484,1224701
内蒙古,10775.9,62.6,106.5,91,2635,765,1016.4,1456.5,973.4,1320,871,301,311842,1164224
辽宁,12056.9,72.8,197.7,133.7,2192,598.4,775.3,1119.8,893.8,1008,955,502,178619,794627
吉林,11326.2,76.5,109.5,97.8,2252.3,594.6,676.8,1117.7,890.7,775,626,594,159951,822267
黑龙江,11095.2,75.9,112.8,104.2,2178.5,639.9,716.3,1097.9,1020.3,990,900,161,267445,1181589
上海,23205.2,98.6,3,2.8,5341.8,857,1680.8,892.9,891.2,,108,192,17394,30867
江苏,16256.7,96.9,299.5,248.3,3693.2,777.3,1016.3,1318.6,868.1,1033,912,1285,361095,1147947
浙江,21125,96.5,621.7,572.1,4672,948.9,1276.6,1486,972.4,1194,916,753,219467,567628
安徽,10820.7,67.1,435.5,409.6,2833.1,502.1,683.4,834.2,648.6,1382,1288,661,387606,1963293
福建,13792.7,94,290.4,276.8,3976.1,610.4,920.2,1003.9,698.3,880,962,94,152879,716811
江西,11139.1,89.4,354.2,331.8,2394.9,431.6,676.1,882.9,471.4,1585,1632,1058,342951,1692827
山东,12930.4,92.2,652.2,444.1,2477.2,539,759.3,911.8,685.7,1630,1238,996,515061,2374164
河南,10852.9,75.6,641.4,556.9,2135.6,655.2,701.5,851.4,624.3,2057,1902,548,572695,3929062
湖北,11843.9,83,399.6,353.1,2276.9,548.4,881.6,1118,745.3,1140,1029,1131,387189,1595368
湖南,10992.5,74.4,625.5,567.2,2415.3,493.9,915.4,1276.2,703,2296,2238,1322,441395,3178693
广东,13360.4,92.3,367.5,358.7,3830.9,367,882.5,952.3,585.8,1196,1171,899,393493,1536045
广西,9466.6,85.7,417.1,399.5,1931.5,236.9,634.5,841.7,563.4,1267,1127,120,440176,2921414
海南,10857.6,82.4,92.4,87.6,3152.5,280.3,452.3,903.7,500.5,297,199,44,42767,187896
重庆,10504.7,66.2,125.9,110.4,2578.2,530.2,473.3,923.4,651.2,924,821,305,97804,502634
四川,10247.4,77.7,479.9,432.9,2488.5,580.1,570.4,698.8,653.3,4509,4318,1955,590045,4054741
贵州,7386.9,54.8,211.3,201.9,1486.4,355.1,533.1,872.7,354.5,1419,1414,574,618067,3327023
云南,8242.1,64.6,373.2,346.5,1691.3,304.8,465.7,782.3,423.6,1372,1302,195,761337,4552840
西藏,8243.7,,,,1507,506.1,149,179.3,93.2,680,684,,40118,320234
陕西,8688.9,55.4,310.5,293.6,1956.5,496,756.8,1036.4,816.4,1589,1321,338,385792,1616515
甘肃,6936.2,71.8,87.3,66.8,1726.6,466.1,606.4,853.6,543.6,1371,1229,215,550265,3369222
青海,7933.4,66.6,53.2,49.7,1973.9,626.8,808.2,806.6,930.5,404,359,17,78029,317797
宁夏,9118.7,70.3,63.1,57.3,2111,664,957.6,995.3,678.2,219,199,58,94964,417384
新疆,9425.1,75,251.9,236.4,2029.1,688.4,857,632,594.4,927,1021,116,260993,1317586
新疆（兵团）,,81.2,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
