公司名,核算日期,应收账款周转率,总资产周转率,总资产报酬率,总资产净利润率,总资产增长率,营业利润增长率,营业收入增长率
中兴通讯,2018/3/31,1.026863,0.222267,0.012557,0.008458,-0.003903,0.701828,0.1654
TCL集团,2018/3/31,1.374288,0.006394,0.00235,-0.000763,0.270552,-6.663729,0.201634
烽火电子,2018/3/31,0.253489,0.055386,-0.007577,-0.008129,0.187754,0.089684,0.132141
京东方A,2018/3/31,33.479304,0.009947,0.007493,0.006332,0.186243,-12.033244,2.906708
科大讯飞,2018/3/31,0.559244,0.072051,0.006865,0.006984,0.214226,-0.249589,0.697807
启明信息,2018/3/31,0.646014,0.112988,0.000281,0.000674,0.003217,0.390342,-0.127037
京东方B,2018/3/31,0.41034,0.15268,0.018683,0.019013,0.248135,0.052369,0.318868
汉得信息,2018/3/31,0.504414,0.050161,0.017,0.019507,0.142588,0.479148,0.343057
东软载波,2018/3/31,0.423707,0.035243,0.013799,0.011787,-0.051445,-204.396219,0.913616
汉鼎宇佑,2018/3/31,0.656238,0.163536,0.003341,0.003336,0.093462,-1.370299,0.004188
安硕信息,2018/3/31,0.231922,0.078697,-0.002581,-0.00323,0.1146,-0.478836,-0.123857
科大国创,2018/3/31,0.711042,0.151935,0.003521,0.002828,0.143263,-0.339823,0.235774
烽火通信,2018/3/31,2.296335,0.085706,0.012463,0.012335,0.287745,-36.244374,0.153379
恒生电子,2018/3/31,0.578897,0.034404,-0.006141,-0.009827,0.014926,0.079867,0.328572
用友网络,2018/3/31,0.537614,0.07175,0.009534,0.008755,0.137241,-0.068363,-0.000763
东软集团,2018/3/31,0.433026,0.06967,-0.005136,-0.005129,-0.024641,0.040844,-0.221658
浪潮软件,2018/3/31,3.15843,0.217263,-0.004782,-0.006624,-0.123467,-0.147638,0.07175
